stepcount,timestamp
49,1490645072984
41,1490650375410
36,1490650380996
24,1490650500195
25,1490650501891
39,1490650577513
18,1490650636648
49,1490651068636
65,1490651068788
83,1490651069272
7,1490651117435
23,1490651202455
8,1490651409113
37,1490651554520
37,1490651554787
58,1490651843263
2,1490651900795
11,1490652302297
87,1490652302465
52,1490652302639
8,1490652302806
21,1490652435523
115,1490652435670
118,1490652480568
116,1490652900516
116,1490652900773
115,1490652901031
108,1490652901290
119,1490652901549
112,1490652901815
64,1490652902119
111,1490653131864
113,1490653132113
99,1490653132369
70,1490653149561
95,1490653205600
113,1490653528468
63,1490653528682
100,1490653528842
117,1490653529046
118,1490653529285
120,1490653560924
117,1490653623444
120,1490653680362
35,1490654100197
72,1490654100636
98,1490654160482
21,1490645219917
57,1490645219931
13,1490645223954
43,1490645469781
56,1490645469797
15,1490645625886
16,1490645625907
16,1490645700551
15,1490646655023
37,1490647321745
19,1490647815860
35,1490647815894
16,1490648689941
39,1490648757991
58,1490649631924
62,1490649660325
1,1490649723968
25,1490650371475
25,1490650500674
17,1490650500716
18,1490650942031
27,1490650942042
56,1490651004418
73,1490651202847
16,1490651342849
24,1490651475929
39,1490651569743
1,1490651600957
95,1490651829991
35,1490652152078
96,1490652263052
33,1490652263079
17,1490652439932
60,1490652439954
102,1490652552854
90,1490652552868
103,1490652614093
107,1490652662802
103,1490652723804
106,1490652899566
104,1490652899582
69,1490653391875
100,1490653391890
103,1490653391901
87,1490653391911
67,1490653391921
94,1490653391932
114,1490653391946
52,1490653391977
68,1490653521948
111,1490653521972
115,1490653521997
113,1490653717885
116,1490653717900
113,1490653717911
4,1490653801056
38,1490654233775
73,1490654233843
61,1490654233869
41,1490654287089
38,1490654344877
30,1490654530664
27,1490654804375
48,1490654804409
40,1490654804513
42,1490654804616
22,1490654829162
45,1490654829180
54,1490655205083
35,1490655345479
99,1490655397100
74,1490655443888
6,1490656286825
6,1490656556268
12,1490656565509
81,1490656714286
99,1490656714573
117,1490656740359
111,1490656840760
85,1490656860279
108,1490656998526
112,1490656998709
108,1490657040489
107,1490657113322
110,1490657186972
68,1490657220341
37,1490657306839
6,1490657426236
102,1490657426490
105,1490657460276
91,1490657568400
52,1490657700196
109,1490657700387
99,1490657700601
98,1490657780472
54,1490657856529
118,1490658331932
121,1490658332159
107,1490658332320
85,1490658332504
114,1490658332670
115,1490658332869
114,1490658333038
105,1490658333317
112,1490658570500
113,1490658570654
102,1490658570830
15,1490658571019
28,1490658740362
6,1490658740552
16,1490659049649
8,1490669398594
30,1490669400318
79,1490669700385
114,1490669700558
113,1490669700679
117,1490670492424
117,1490670492579
108,1490670492808
115,1490670493016
119,1490670493208
114,1490670493373
115,1490670493601
119,1490670493769
112,1490670493940
113,1490670494184
111,1490670494330
115,1490670494573
10,1490670494720
57,1490670595204
81,1490670900164
113,1490670900421
111,1490670900635
111,1490670900933
112,1490670901182
115,1490670901435
67,1490670969340
112,1490671106394
112,1490671106558
109,1490671202116
110,1490671202288
108,1490671260251
108,1490671320643
106,1490671380634
106,1490671440659
110,1490671500280
108,1490671560568
97,1490671620460
101,1490671686249
67,1490671740569
107,1490671800440
107,1490671860488
69,1490671920658
102,1490672009407
15,1490672040783
21,1490672132174
14,1490672164535
20,1490700709245
36,1490700733848
102,1490700795390
101,1490700900504
140,1490700900699
16,1490655302549
17,1490655361865
91,1490655361887
46,1490655437881
22,1490656595950
88,1490656631740
50,1490656703727
94,1490656879841
97,1490656880004
51,1490656880017
106,1490656971868
107,1490656990813
105,1490657100830
102,1490657102072
103,1490657414891
55,1490657414909
34,1490657414961
106,1490657415001
98,1490657561771
80,1490657561827
49,1490657700583
107,1490657700599
97,1490658336840
90,1490658336863
92,1490658336878
112,1490658336890
119,1490658336901
104,1490658336911
90,1490658336926
111,1490658336936
114,1490658336947
112,1490658336958
93,1490658336973
106,1490658401774
112,1490658588688
89,1490658588701
24,1490658717943
9,1490658720509
20,1490659016733
38,1490659559757
34,1490659717773
12,1490659756242
61,1490660203803
50,1490660203820
45,1490660230893
84,1490660302898
73,1490660356764
25,1490660463837
8,1490660483794
34,1490660561818
17,1490660910063
15,1490660923754
69,1490660996019
33,1490661200157
21,1490661200169
15,1490661200274
33,1490662062035
22,1490662359818
17,1490663370891
12,1490663443816
16,1490664035820
19,1490664052920
18,1490669414830
44,1490669560735
41,1490669560747
73,1490669606919
104,1490669641868
110,1490669915872
115,1490669915942
111,1490669915957
101,1490669915977
108,1490669952771
118,1490670006723
116,1490670096202
114,1490670221747
108,1490670221766
105,1490670276925
106,1490670385808
105,1490670385821
114,1490670741819
55,1490670741841
26,1490670741875
105,1490670741917
114,1490670741932
108,1490670741946
112,1490670900587
112,1490670900609
113,1490671202411
91,1490671202428
112,1490671202447
108,1490671202459
108,1490671202511
108,1490671202624
108,1490671348773
108,1490671348853
105,1490671799852
107,1490671799875
110,1490671799888
107,1490671799903
96,1490671799919
101,1490671799951
68,1490671799965
107,1490671800494
